row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
1352649,2026-09-01 01:05:55,1STCUS.BO,,,,,,,86400.0,2.0,59.0,59.0,64.49,1.0,1.69,1758153600.0,0.3704,,-0.163,267.0,267.0,261.0,,,,,75.83755,0.0,0.0,61367388.0,559180.0,1500000.0,0.61355,0.0,1500000.0,101.591,0.63480026,,-1.2,,-0.38048267,1.0,1758153600.0,BSE,EQUITY,27044792.0,18.141,,395996.0,449.0,449.0,96735000.0,54.55,104.85,18.975088,65.9798,,,5098000.0,0.263,3.4,,,1.0,0.0,-4.88362,-0.35269,59.04,59.0,59.0,64.49,59.04,,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (India) Ltd.,Capital Markets,Financial Services,64.49,,,,,,none,,9.23,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),3,3
1352650,2026-09-01 01:05:55,20MICRONS.BO,411.0,,,,,,86400.0,2.0,222.7,217.0,227.05,1.25,0.73,1753315200.0,0.0684,,0.369,11383.0,11383.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.6925778,0.16,18.27,,-0.106589675,1.25,1784246400.0,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,7687164928.0,158.0,284.1,0.83536655,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,221.6,222.7,217.0,227.05,221.6,11.923919,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,217.85,,,,,,none,,-1.69,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,7,2
1352651,2026-09-01 01:05:55,21STCENMGM.BO,8.0,,,,,,86400.0,2.0,40.82,40.82,40.82,,,1721952000.0,0.0,,0.504,26.0,26.0,1491.0,,,,,38.0141,0.0,0.0,401868992.0,2896425.0,10500000.0,0.73423,0.0,10500000.0,31.483,1.2965728,2.947,-16.4,,-0.21087533,2.5,1721952000.0,BSE,EQUITY,35456000.0,3.377,-171291744.0,0.0,2229.0,2229.0,428609984.0,28.62,55.0,-4.06566,37.7444,,,-105422000.0,,-10.045,2.955,1.902,0.0,0.0,0.94581,0.0,41.65,40.82,40.82,40.82,41.65,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,40.82,,,,,,none,,-1.99,2.9,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,11,11
1352652,2026-09-01 01:05:55,360ONE.BO,1780.0,,,,,,86400.0,2.0,1193.15,1149.1,1199.95,18.0,1.5,1777248000.0,0.3989,2.53,0.47,104686.0,104686.0,255618.0,,,,,1108.911,12.0,0.009996252,632547311616.0,278608737.0,407564504.0,0.15182,0.66688,407564504.0,242.533,4.8364553,0.161,30.13,40.95851,0.1684215,6.0,1777248000.0,BSE,EQUITY,14815899648.0,36.442,30186725376.0,159313100800.0,306674.0,306674.0,478073159680.0,906.2,1235.65,10.021784,1136.517,,,47703400448.0,161.977,117.646,0.128,0.299,0.72869,0.6328,0.6107,0.26455998,1200.45,1193.15,1149.1,1199.95,1200.45,38.931297,28.638737,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1173.0,1521.0,1200.0,1310.1,1300.0,1.2,strong_buy,10.0,-2.29,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Buy,Trading near its 52-week high (bullish momentum),11,5
1352653,2026-09-01 01:05:55,3IINFOLTD.BO,3153.0,,,,,,86400.0,2.0,24.66,22.9,24.66,,,1309996800.0,0.0,3.81,-0.276,6755.0,6755.0,86623.0,,,,,17.28595,0.0,0.0,4734054912.0,188373599.0,207403767.0,0.14395,0.0022200001,207403767.0,17.827,1.2929826,-0.152,1.75,,0.04047513,14.210196,1309996800.0,BSE,EQUITY,776000000.0,3.724,-47850000.0,615699968.0,45926.0,45926.0,4780656640.0,12.61,27.78,0.68222004,21.245,,,7007499776.0,16.298,34.765,-0.295,0.043,0.08748,-0.0068300003,0.00298,0.04895,23.65,24.66,22.9,24.66,23.65,13.171428,,3IINFOLTD.BO,3I INFOTECH LTD.,3i Infotech Limited,Information Technology Services,Technology,23.05,,,,,,none,,-2.54,2.2,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,15,11
1352654,2026-09-01 01:05:55,3MINDIA.BO,1273.0,,,,,,86400.0,2.0,34020.45,33200.0,34020.45,160.0,0.46,1784246400.0,0.312,,0.273,201.0,201.0,403.0,,,,,33992.773,0.0,0.0,382233968640.0,2649544.0,11265070.0,0.7648,0.09531,11265070.0,1569.586,21.227444,0.312,514.07,777.2,0.09410763,506.0,1784246400.0,BSE,EQUITY,8121399808.0,720.936,9959950336.0,1697500032.0,1204.0,1204.0,375332995072.0,28747.3,38300.0,7.059112,34786.168,,,53169999872.0,9.6,4719.962,0.312,0.19,0.40658,0.18732001,0.15554,0.10865,34501.15,34020.45,33200.0,34020.45,34501.15,64.81277,42.86966,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,33318.3,37500.0,37500.0,37500.0,37500.0,2.0,buy,1.0,-3.43,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,18,12
1352655,2026-09-01 01:05:55,3PLAND.BO,1.0,,,,,,86400.0,2.0,31.7,31.4,32.07,,,1282089600.0,0.0,,-0.202,308.0,308.0,372.0,,,,,33.9008,0.0,0.0,586988992.0,3708360.0,18000000.0,0.80564004,0.0,18000000.0,58.143,0.5434876,0.243,1.26,,-0.2660386,0.2,1282089600.0,BSE,EQUITY,1971000.0,0.11,31175000.0,0.0,386.0,386.0,568800000.0,26.41,54.0,11.816029,32.0328,,,48138000.0,,2.672,0.238,0.154,0.99853,0.64762,0.59048,0.47117,32.72,31.7,31.4,32.07,32.72,25.079365,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,31.6,,,,,,none,,-3.42,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),14,11
1352656,2026-09-01 01:05:55,5PAISA.BO,609.0,,,,,,86400.0,2.0,373.2,355.3,373.2,,,,0.0,,0.662,3206.0,3206.0,5034.0,,,,,334.81726,0.0,0.0,5948012544.0,24566286.0,46879257.0,0.71242,0.123500004,46879257.0,207.533,1.7170763,0.002,13.04,,0.02141869,,,BSE,EQUITY,14177139712.0,318.604,,3785600000.0,7741.0,7741.0,16705423360.0,245.0,416.65,5.628556,370.029,,,2967976960.0,58.31,85.854,-0.293,0.134,1.0,0.0,0.19328,0.14894,367.2,373.2,355.3,373.2,367.2,27.327454,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,356.35,,,,,,none,,-2.95,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,17,16
1352657,2026-09-01 01:05:55,63MOONS.BO,,,,,,,86400.0,2.0,774.85,763.15,786.4,2.0,0.26,1789516800.0,0.3854,5.9,0.688,9109.0,9109.0,50878.0,,,,,683.89526,0.0,0.0,17245276160.0,21346189.0,46078537.0,0.58129,0.01465,46078537.0,770.436,1.0113754,,-13.58,,-0.150487,2.0,1789516800.0,BSE,EQUITY,19559452672.0,424.392,-2947534336.0,54222000.0,17646.0,17646.0,35904397312.0,465.55,1004.9,11.279677,751.963,,,3183105024.0,0.149,69.053,,3.505,0.07594,-0.92599,-0.58952,-0.20482,776.2,774.85,763.15,786.4,776.2,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,779.2,,,,,,none,,0.39,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,3,1
1352658,2026-09-01 01:05:55,7NR.BO,,,,,,,86400.0,2.0,6.38,6.38,6.83,,,1568851200.0,0.0,,0.541,28285.0,28285.0,155386.0,,,,,4.81515,0.0,0.0,220368272.0,25067486.0,28006800.0,0.28858,0.0,28006800.0,10.42,0.65451056,,0.49,,0.31781375,0.037128,1568851200.0,BSE,EQUITY,9406000.0,0.336,8703750.0,47450000.0,69746.0,69746.0,191006384.0,2.75,7.4,1.8121016,6.1736,,,105406000.0,16.259,3.698,,-0.424,0.31487,0.08257,0.51383,0.13133,6.51,6.38,6.38,6.83,6.51,13.918367,,7NR.BO,7NR Retail Limited,7NR Retail Limited,Apparel Retail,Consumer Cyclical,6.82,,,,,,none,,4.76,2.2,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Buy,Trading near its 52-week high (bullish momentum),18,6
