row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
278690,2025-05-01 19:14:03,1STCUS.BO,6.0,,,,,,86400.0,2.0,137.0,128.0,137.0,1.0,0.78,1726704000.0,0.06,,-0.25,83.0,83.0,339.0,,,,,137.9747,0.0,0.0,165595840.0,540584.0,1500000.0,0.63076997,0.0,1546880.0,100.48,1.2738853,0.039,16.65,,-0.1898734,,,BSE,EQUITY,27302876.0,18.205,,930974.0,334.0,334.0,192000000.0,96.4,172.05,5.161113,133.223,,,37201280.0,0.618,24.808,0.039,0.082,0.98190004,0.0,0.77504,0.67183,132.0,137.0,128.0,137.0,132.0,7.687688,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,128.0,,,,,,none,,-3.03,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Highly Profitable with margins > 20%,Hold,No strong momentum,2,2
278691,2025-05-01 19:14:03,20MICRONS.BO,384.0,,,,,,86400.0,2.0,223.5,209.2,223.5,1.25,0.59,1720742400.0,0.0725,,0.729,10737.0,10737.0,16059.0,,,,,243.18124,0.0,0.0,8602317824.0,14561053.0,35286500.0,0.53946,0.00016000001,37195200.0,108.718,1.9385014,0.123,17.24,,0.24336278,1.25,1720742400.0,BSE,EQUITY,165704992.0,4.693,1086779264.0,1313862016.0,19600.0,19600.0,7436630016.0,152.2,346.7,0.8283486,196.248,,,8977657856.0,34.138,254.418,0.123,0.227,0.46838,0.12104999,0.100209996,0.067719996,222.15,223.5,209.2,223.5,222.15,12.224478,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,210.75,,,,,,none,,-5.13,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,8,1
278692,2025-05-01 19:14:03,21STCENMGM.BO,10.0,,,,,,86400.0,2.0,76.25,73.81,76.25,2.5,3.39,1721952000.0,0.066,,0.468,459.0,459.0,1956.0,,,,,91.9696,0.0,0.0,688340864.0,3016015.0,10500000.0,0.6443,0.0,10713400.0,90.796,0.8129213,,37.86,,0.42904162,2.5,1721952000.0,BSE,EQUITY,86393000.0,8.231,458822496.0,0.0,980.0,980.0,775004992.0,44.77,139.0,0.5590231,70.1002,,,1386355968.0,,132.002,,,0.35009,0.33096,1.2655799,0.28679,75.31,76.25,73.81,76.25,75.31,1.9495509,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,73.81,,,,,,none,,-1.99,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,No strong momentum,3,3
278693,2025-05-01 19:14:03,360ONE.BO,,,,,,,86400.0,2.0,982.65,975.0,1019.75,12.0,1.22,1745884800.0,0.2301,3.46,0.336,33781.0,33781.0,71960.0,0.083179995,0.19312,11827112960.0,-24108699648.0,1049.8927,6.0,0.006105938,485903499264.0,231228188.0,393697984.0,0.18014,0.63721,413281984.0,180.591,5.452376,0.03,26.09,,0.27174687,6.0,1745884800.0,BSE,EQUITY,10915800064.0,27.902,23920001024.0,111601999872.0,105879.0,105879.0,387654713344.0,695.0,1317.25,10.5215435,940.487,0.515,2.764,36843900928.0,157.962,98.487,-0.052,-0.119,0.73637,0.64922994,0.58856,0.27557,982.65,982.65,975.0,1019.75,982.65,37.740513,26.807005,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,984.65,1340.0,1090.0,1185.8,1161.5,1.7,buy,10.0,0.2,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Highly Profitable with margins > 20%,Hold,No strong momentum,10,5
278694,2025-05-01 19:14:03,3IINFOLTD.BO,5600.0,,,,,,86400.0,2.0,23.69,22.81,23.84,,,1309996800.0,0.0,3.81,0.612,64855.0,64855.0,116821.0,,,,,29.36555,0.0,0.0,4203094016.0,149083539.0,169627008.0,0.14615,0.0060900003,174683008.0,16.263,1.4234766,,-805.18,,-0.40503728,1.5,1309996800.0,BSE,EQUITY,502800000.0,2.96,-562800000.0,773299968.0,118695.0,118695.0,3926865152.0,20.0,42.58,0.53368646,23.4544,,,7358000128.0,27.58,43.484,,-0.145,0.08765,-0.07649,0.00287,-0.09693,23.84,23.69,22.81,23.84,23.84,,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,23.15,,,,,,none,,-2.89,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),12,10
278695,2025-05-01 19:14:03,3MINDIA.BO,1033.0,,,,,,86400.0,2.0,29980.0,29661.0,30354.85,160.0,0.53,1720137600.0,0.3121,,0.2,47.0,47.0,275.0,,,,,32317.182,0.0,0.0,334132379648.0,2649546.0,11265100.0,0.7648,0.0949,11328300.0,1478.508,20.376284,-0.159,512.15,680.5,0.011406064,685.0,1720137600.0,BSE,EQUITY,6273184768.0,556.87,7523660288.0,1028296000.0,133.0,133.0,339378044928.0,25714.35,41000.0,7.816403,28195.393,,,43418697728.0,6.174,3854.264,-0.159,0.084,0.39878,0.17327999,0.12851,0.13302,30020.95,29980.0,29661.0,30354.85,30020.95,58.823586,44.271126,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,30126.5,33500.0,33500.0,33500.0,33500.0,,none,1.0,0.35,2.2,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),,,Hold,No strong momentum,16,12
278696,2025-05-01 19:14:03,3PLAND.BO,1.0,,,,,,86400.0,2.0,43.62,41.25,43.62,,,1282089600.0,0.0,,0.046,130.0,130.0,2221.0,,,,,45.66755,0.0,0.0,,3746360.0,18000000.0,0.7956,0.0,18427600.0,54.842,0.7521608,-0.015,1.14,,0.2603116,0.2,1282089600.0,BSE,EQUITY,,,28675750.0,,2148.0,2148.0,742499968.0,27.38,81.92,16.696274,41.4682,,,44471000.0,,2.454,-0.045,0.047,1.0,0.64482003,0.55206,0.46644002,42.23,43.62,41.25,43.62,42.23,36.18421,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,41.25,,,,,,none,,-2.32,1.4,Strong Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,No strong momentum,18,15
278697,2025-05-01 19:14:03,5PAISA.BO,548.0,,,,,,86400.0,2.0,380.0,369.3,380.0,,,,0.0,,0.926,2546.0,2546.0,7351.0,,,,,455.70425,0.0,0.0,-2699624960.0,12186766.0,31233300.0,0.57365,0.21043,31233300.0,184.582,2.0110304,0.072,19.49,,-0.2958361,,,BSE,EQUITY,15979458560.0,511.662,,1687072000.0,7006.0,7006.0,11593801728.0,311.25,607.4,3.0771368,361.783,,,3767724032.0,29.297,120.768,0.06,-0.135,0.99964,0.0,0.26969,0.16971001,378.55,380.0,369.3,380.0,378.55,19.045666,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,371.2,,,,,,none,,-1.94,2.5,Buy,Hold,Low Beta (less volatile than the market),,,Hold,Trading near its 52-week low (bearish momentum),14,11
278698,2025-05-01 19:14:03,63MOONS.BO,863.0,,,,,,86400.0,2.0,665.0,643.05,665.0,2.0,0.31,1726790400.0,0.1258,5.9,0.736,14692.0,14692.0,22512.0,,,,,606.69275,0.0,0.0,13103779840.0,16563913.0,46078500.0,0.58,0.00341,47354000.0,719.827,0.89584017,,-7.87,,0.48754323,2.0,1726790400.0,BSE,EQUITY,16456930304.0,357.178,-2434701568.0,68113000.0,15042.0,15042.0,29713719296.0,313.9,1079.85,20.33274,723.317,,,1461373056.0,0.207,31.701,,-0.927,-0.32546002,-1.6660401,-5.84348,-0.24733,662.7,665.0,643.05,665.0,662.7,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,644.85,,,,,,none,,-2.69,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,3,1
278699,2025-05-01 19:14:03,7NR.BO,,,,,,,86400.0,4.0,4.98,4.82,4.98,,,1568851200.0,0.0,,-0.673,31319.0,31319.0,35014.0,,,,,4.474217,0.0,0.0,146684880.0,20516764.0,28006800.0,0.25090998,0.0,28698300.0,9.887,0.4915546,,-0.07,,-0.029940128,,,BSE,EQUITY,25491000.0,0.916,-8978750.0,36884000.0,44907.0,44907.0,136113056.0,3.8,5.37,1.8022968,4.2438,,,75522000.0,13.349,2.672,,-0.737,-0.098850004,-0.11889,0.66027,-0.1594,4.98,4.98,4.82,4.98,4.98,,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,4.86,,,,,,none,,-2.41,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,12,3
