Date,Close,High,Low,Open,Volume,Month_Change,Month_Volatile,Yearly_Change,Symbol
,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,,,,
2024-01-01,168.05,182.17,161.68,176.2,3310415,-4.63,12.67,-4.63,20MICRONS.NS
2024-02-01,148.66,168.89,142.19,168.05,2154515,-11.54,18.78,-16.16,20MICRONS.NS
2024-03-01,142.89,173.32,131.25,149.05,5172783,-4.13,32.05,-20.3,20MICRONS.NS
2024-04-01,170.78,176.0,131.8,143.19,3835987,19.27,33.54,-1.03,20MICRONS.NS
2024-05-01,173.17,193.9,156.86,170.78,5739615,1.4,23.61,0.37,20MICRONS.NS
2024-06-01,219.52,233.61,150.99,177.99,12603560,23.33,54.72,23.7,20MICRONS.NS
2024-07-01,270.48,293.14,200.28,220.55,18853518,22.64,46.37,46.34,20MICRONS.NS
2024-08-01,316.5,348.0,255.75,273.5,13761981,15.72,36.07,62.06,20MICRONS.NS
2024-09-01,299.75,340.0,285.4,318.8,4216271,-5.98,19.13,56.09,20MICRONS.NS
2024-10-01,266.2,321.0,257.6,299.75,2057061,-11.19,24.61,44.9,20MICRONS.NS
2024-11-01,233.55,263.1,219.35,263.1,818307,-11.23,19.95,33.67,20MICRONS.NS
2024-12-01,239.5,270.35,235.0,245.22,1343115,-2.33,15.04,31.33,20MICRONS.NS
2024-01-01,41.59,41.59,28.91,32.25,172711,28.96,43.86,28.96,21STCENMGM.NS
2024-02-01,48.81,51.91,39.95,42.42,107960,15.06,29.94,44.02,21STCENMGM.NS
2024-03-01,40.29,49.73,39.12,47.84,191025,-15.78,27.12,28.24,21STCENMGM.NS
2024-04-01,49.05,53.26,40.19,40.19,187633,22.05,32.52,50.29,21STCENMGM.NS
2024-05-01,47.65,52.78,41.35,50.02,140286,-4.74,27.64,45.55,21STCENMGM.NS
2024-06-01,64.48,64.48,46.15,48.57,276460,32.76,39.72,78.31,21STCENMGM.NS
2024-07-01,80.34,80.34,65.77,65.77,108201,22.15,22.15,100.46,21STCENMGM.NS
2024-08-01,120.71,120.71,84.61,84.61,160298,42.67,42.67,143.13,21STCENMGM.NS
2024-09-01,107.0,141.4,107.0,123.12,219974,-13.09,32.15,130.03,21STCENMGM.NS
2024-10-01,110.78,122.64,96.7,104.86,185159,5.65,26.83,135.68,21STCENMGM.NS
2024-11-01,95.5,121.44,94.05,112.99,219220,-15.48,29.12,120.2,21STCENMGM.NS
2024-12-01,91.0,101.71,87.48,93.59,188550,-2.77,16.27,117.43,21STCENMGM.NS
2024-01-01,611.33,704.36,583.18,699.87,7351429,-12.65,20.78,-12.65,360ONE.NS
2024-02-01,713.94,783.45,593.09,616.67,12748367,15.77,32.1,3.12,360ONE.NS
2024-03-01,670.89,738.67,642.49,717.96,6410397,-6.56,14.97,-3.43,360ONE.NS
2024-04-01,778.59,894.67,672.58,680.23,23447315,14.46,33.02,11.03,360ONE.NS
2024-05-01,770.74,824.12,711.26,778.59,9117546,-1.01,15.87,10.02,360ONE.NS
2024-06-01,977.69,1062.32,689.66,806.97,21977033,21.16,54.04,31.17,360ONE.NS
2024-07-01,1129.45,1136.24,917.89,992.5,14118453,13.8,23.79,44.97,360ONE.NS
2024-08-01,1070.3,1211.94,979.93,1126.96,16227403,-5.03,23.68,39.94,360ONE.NS
2024-09-01,1039.6,1134.8,1016.95,1080.0,10204236,-3.74,11.59,36.2,360ONE.NS
2024-10-01,1090.5,1143.65,940.0,1040.0,21015583,4.86,21.66,41.06,360ONE.NS
2024-11-01,1115.05,1148.85,1001.05,1095.05,8977106,1.83,14.76,42.89,360ONE.NS
2024-12-01,1223.15,1270.0,1094.0,1115.0,11984608,9.7,16.09,52.59,360ONE.NS
2024-01-01,61.55,63.9,49.2,49.2,90752451,25.1,29.88,25.1,3IINFOLTD.NS
2024-02-01,48.7,61.2,44.85,60.0,54059891,-18.83,36.45,6.27,3IINFOLTD.NS
2024-03-01,39.5,50.2,38.55,49.0,29261209,-19.39,30.22,-13.12,3IINFOLTD.NS
2024-04-01,38.95,46.0,37.9,39.95,24832352,-2.5,21.37,-15.62,3IINFOLTD.NS
2024-05-01,34.85,39.8,34.55,38.95,15020235,-10.53,15.2,-26.15,3IINFOLTD.NS
2024-06-01,36.46,39.2,30.25,35.55,35831471,2.56,29.59,-23.59,3IINFOLTD.NS
2024-07-01,36.98,42.59,35.32,36.75,35729057,0.63,20.58,-22.96,3IINFOLTD.NS
2024-08-01,35.1,38.17,32.4,37.0,20518026,-5.14,17.81,-28.1,3IINFOLTD.NS
2024-09-01,32.09,35.25,31.72,35.25,15962065,-8.96,11.13,-37.06,3IINFOLTD.NS
2024-10-01,27.94,33.45,25.23,31.8,14859365,-12.14,32.58,-49.2,3IINFOLTD.NS
2024-11-01,28.67,29.88,25.95,28.06,8944106,2.17,15.14,-47.03,3IINFOLTD.NS
2024-12-01,29.04,33.4,28.32,28.88,15403961,0.55,17.94,-46.47,3IINFOLTD.NS
2024-01-01,34269.07,37348.2,33170.18,36850.22,103730,-7.0,12.6,-7.0,3MINDIA.NS
2024-02-01,31848.2,34447.14,30127.65,34311.39,105187,-7.18,14.34,-14.18,3MINDIA.NS
2024-03-01,31067.08,32144.35,29085.18,32144.35,114709,-3.35,10.52,-17.53,3MINDIA.NS
2024-04-01,30344.76,31322.64,28790.03,30675.32,91758,-1.08,8.8,-18.61,3MINDIA.NS
2024-05-01,33249.86,35401.36,28383.58,30344.76,348409,9.57,24.72,-9.04,3MINDIA.NS
2024-06-01,36655.32,38345.15,30330.52,33961.96,180739,7.93,26.42,-1.11,3MINDIA.NS
2024-07-01,39126.77,40691.11,36869.04,37199.4,174216,5.18,10.37,4.07,3MINDIA.NS
2024-08-01,35663.65,39949.0,34778.0,39415.45,114876,-9.52,14.87,-5.45,3MINDIA.NS
2024-09-01,33834.0,36244.0,33444.05,35750.0,128187,-5.36,8.37,-10.81,3MINDIA.NS
2024-10-01,36047.6,36147.7,33131.6,34306.9,100139,5.07,9.1,-5.73,3MINDIA.NS
2024-11-01,32245.3,37133.75,30629.0,36130.15,101574,-10.75,21.24,-16.48,3MINDIA.NS
2024-12-01,30810.0,32301.55,30500.0,32245.3,88864,-4.45,5.91,-20.93,3MINDIA.NS
2024-01-01,37.95,39.25,26.75,27.0,2588435,40.56,46.73,40.56,3PLAND.NS
2024-02-01,32.15,40.0,31.05,39.65,344726,-18.92,28.82,21.64,3PLAND.NS
2024-03-01,27.0,33.75,26.05,31.5,159781,-14.29,29.56,7.35,3PLAND.NS
2024-04-01,32.0,35.95,26.45,28.15,191773,13.68,35.92,21.03,3PLAND.NS
2024-05-01,30.3,33.55,28.55,32.0,226474,-5.31,17.51,15.72,3PLAND.NS
2024-06-01,38.39,41.52,27.8,31.75,857526,20.91,49.35,36.63,3PLAND.NS
2024-07-01,37.17,40.0,33.4,38.35,1003909,-3.08,19.76,33.56,3PLAND.NS
2024-08-01,45.36,56.15,35.53,37.55,2572889,20.8,58.04,54.35,3PLAND.NS
2024-09-01,37.31,46.0,36.54,46.0,209718,-18.89,25.89,35.46,3PLAND.NS
2024-10-01,39.35,40.95,34.05,36.5,181178,7.81,20.26,43.27,3PLAND.NS
2024-11-01,61.81,71.66,39.0,40.9,2960495,51.12,83.74,94.4,3PLAND.NS
2024-12-01,67.14,82.06,55.6,63.49,3116111,5.75,47.59,100.14,3PLAND.NS
2024-01-01,601.7,758.45,566.2,572.4,5288071,5.12,33.95,5.12,5PAISA.NS
2024-02-01,560.15,638.4,534.95,594.0,1718812,-5.7,19.34,-0.58,5PAISA.NS
2024-03-01,505.05,570.15,462.6,567.0,1973874,-10.93,23.25,-11.51,5PAISA.NS
2024-04-01,533.65,605.0,506.35,512.0,3627299,4.23,19.48,-7.28,5PAISA.NS
