Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
20MICRONS.NS,31.33,2.61,28.04
21STCENMGM.NS,117.43,9.79,30.83
360ONE.NS,52.59,4.38,23.53
3IINFOLTD.NS,-46.47,-3.87,23.16
3MINDIA.NS,-20.93,-1.74,13.94
3PLAND.NS,100.14,8.35,38.6
5PAISA.NS,-24.45,-2.04,18.86
63MOONS.NS,75.49,6.29,34.5
A2ZINFRA.NS,67.6,5.63,29.67
AAATECH.NS,43.0,3.58,32.0
AADHARHFC.NS,19.76,2.82,22.73
AAKASH.NS,-22.33,-1.86,26.98
AAREYDRUGS.NS,1.39,0.12,25.81
AARON.NS,18.3,1.53,18.35
AARTECH.NS,72.29,6.02,30.41
AARTIDRUGS.NS,-14.39,-1.2,16.03
AARTIIND.NS,-47.4,-3.95,19.86
AARTIPHARM.NS,6.43,0.54,22.01
AARTISURF.NS,-8.26,-0.69,21.6
AARVEEDEN.NS,147.35,12.28,34.82
AARVI.NS,-13.36,-1.11,23.06
AAVAS.NS,1.98,0.17,14.31
ABAN.NS,34.18,2.85,32.97
ABB.NS,39.68,3.31,19.22
ABBOTINDIA.NS,20.45,1.7,10.31
ABCAPITAL.NS,9.07,0.76,18.35
ABDL.NS,20.37,4.07,18.49
ABFRL.NS,23.14,1.93,20.66
ABMINTLLTD.NS,48.53,4.04,36.39
ABREL.NS,78.21,6.52,24.8
ABSLAMC.NS,51.6,4.3,17.83
ACC.NS,-13.43,-1.12,15.81
ACCELYA.NS,5.91,0.49,17.87
ACCURACY.NS,35.79,2.98,35.12
ACE.NS,58.3,4.86,25.6
ACEINTEG.NS,-41.38,-3.45,25.57
ACI.NS,0.76,0.06,20.24
ACL.NS,-35.32,-2.94,22.06
ACLGATI.NS,-34.67,-2.89,19.21
ACMESOLAR.NS,-13.93,-13.93,26.31
ADANIENSOL.NS,-40.0,-3.33,27.03
ADANIENT.NS,-27.75,-2.31,18.94
ADANIGREEN.NS,-54.64,-4.55,28.71
ADANIPORTS.NS,4.44,0.37,17.49
ADANIPOWER.NS,-15.23,-1.27,22.06
ADFFOODS.NS,46.31,3.86,24.28
ADL.NS,-5.86,-0.49,22.55
ADORWELD.NS,-32.79,-2.73,18.74
