Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
20MICRONS.NS,30.32,2.53,28.04
21STCENMGM.NS,117.04,9.75,30.83
360ONE.NS,54.95,4.58,23.53
3IINFOLTD.NS,-46.27,-3.86,23.16
3MINDIA.NS,-20.92,-1.74,13.94
3PLAND.NS,100.16,8.35,38.6
5PAISA.NS,-24.96,-2.08,18.86
63MOONS.NS,75.49,6.29,34.5
A2ZINFRA.NS,66.8,5.57,29.67
AAATECH.NS,43.46,3.62,32.0
AADHARHFC.NS,20.05,2.86,22.73
AAKASH.NS,-22.79,-1.9,26.98
AAREYDRUGS.NS,1.39,0.12,25.81
AARON.NS,18.84,1.57,18.35
AARTECH.NS,72.68,6.06,30.41
AARTIDRUGS.NS,-13.72,-1.14,16.03
AARTIIND.NS,-47.65,-3.97,19.86
AARTIPHARM.NS,6.58,0.55,22.01
AARTISURF.NS,-8.24,-0.69,21.6
AARVEEDEN.NS,147.35,12.28,34.82
AARVI.NS,-13.93,-1.16,23.06
AAVAS.NS,2.0,0.17,14.31
ABAN.NS,33.84,2.82,32.97
ABB.NS,39.43,3.29,19.22
ABBOTINDIA.NS,20.61,1.72,10.31
ABCAPITAL.NS,9.23,0.77,18.35
ABDL.NS,20.54,4.11,18.49
ABFRL.NS,23.2,1.93,20.66
ABMINTLLTD.NS,48.53,4.04,36.39
ABREL.NS,77.43,6.45,24.8
ABSLAMC.NS,51.71,4.31,17.83
ACC.NS,-13.27,-1.11,15.81
ACCELYA.NS,5.99,0.5,17.87
ACCURACY.NS,35.19,2.93,35.12
ACE.NS,58.17,4.85,25.6
ACEINTEG.NS,-41.81,-3.49,25.57
ACI.NS,0.98,0.08,20.24
ACL.NS,-36.27,-3.02,22.06
ACLGATI.NS,-34.44,-2.87,19.21
ACMESOLAR.NS,-14.04,-14.04,26.31
ADANIENSOL.NS,-40.25,-3.35,27.03
ADANIENT.NS,-27.92,-2.33,18.94
ADANIGREEN.NS,-54.32,-4.53,28.71
ADANIPORTS.NS,4.54,0.38,17.49
ADANIPOWER.NS,-15.02,-1.25,22.06
ADFFOODS.NS,45.54,3.8,24.28
ADL.NS,-6.58,-0.55,22.55
ADORWELD.NS,-32.81,-2.73,18.74
ADROITINFO.NS,19.19,1.6,29.1
ADSL.NS,59.31,4.94,31.37
ADVANIHOTR.NS,38.19,3.18,26.44
ADVENZYMES.NS,0.4,0.03,20.54
AEGISLOG.NS,15.32,2.19,24.79
AEROFLEX.NS,19.52,1.63,22.65
AETHER.NS,-7.13,-0.59,14.04
AFCONS.NS,3.43,3.43,16.32
AFFLE.NS,21.49,1.79,17.19
AFFORDABLE.NS,-12.15,-6.08,17.42
AFIL.NS,-19.39,-3.23,28.48
AGARIND.NS,36.29,3.02,24.64
AGI.NS,48.09,4.01,24.3
AGIIL.NS,76.72,15.34,37.73
AGRITECH.NS,0.72,0.06,30.47
AGROPHOS.NS,-27.68,-2.31,25.87
AGSTRA.NS,-25.83,-2.15,31.7
AHL.NS,-0.48,-0.04,29.65
AHLADA.NS,-37.19,-3.1,25.5
AHLEAST.NS,11.56,0.96,20.62
AHLUCONT.NS,22.28,1.86,23.48
AIAENG.NS,-9.53,-0.79,15.01
AIIL.NS,77.56,9.7,32.09
AIRAN.NS,25.37,2.11,30.73
AIROLAM.NS,-0.13,-0.01,24.6
AJANTPHARM.NS,27.8,2.32,17.15
AJMERA.NS,98.2,8.18,28.03
AJOONI.NS,14.01,1.17,29.07
AKASH.NS,-19.86,-1.66,29.03
AKG.NS,-29.92,-2.49,24.57
AKI.NS,-79.41,-6.62,27.91
AKSHAR.NS,-125.03,-10.42,45.15
AKSHARCHEM.NS,3.13,0.26,24.08
AKSHOPTFBR.NS,0.1,0.01,30.04
AKUMS.NS,-38.49,-9.62,27.39
AKZOINDIA.NS,33.65,2.8,15.93
ALANKIT.NS,8.18,0.68,24.98
ALBERTDAVD.NS,33.31,2.78,28.15
ALEMBICLTD.NS,43.15,3.6,24.31
ALICON.NS,18.84,1.57,25.16
ALKALI.NS,-18.3,-1.53,24.55
ALKEM.NS,2.9,0.24,13.36
ALKYLAMINE.NS,-28.87,-2.41,17.86
