[2024-12-23 00:36:22] Fetching stock symbols from Google Sheets...
[2024-12-23 00:39:28] Error fetching symbols: APIError: [503]: The service is currently unavailable.
[2024-12-23 00:39:28] Summary data saved to NSE_History/csv/Summary_NSE_Stock_23_Data_2024-12-23.csv.
[2024-12-23 00:39:28] Creating/updating Excel file with daily data...
[2024-12-23 00:39:28] Error creating/updating Excel file: [Errno 2] No such file or directory: 'NSE_History/csv/NSE_Stock_History23_Data_2024-12-23.csv'
[2024-12-23 00:39:29] Created dataset 'NSE_stock_history_2023'.
[2024-12-23 00:39:30] Created table 'stockautomation-442015.NSE_stock_history_2023.stock_history_23'.
[2024-12-23 00:39:30] Error loading data from CSV to BigQuery: [Errno 2] No such file or directory: 'NSE_History/csv/NSE_Stock_History23_Data_2024-12-23.csv'
[2024-12-23 00:39:30] All tasks completed successfully.
[2024-12-23 00:41:41] Fetching stock symbols from Google Sheets...
[2024-12-23 00:43:28] Fetched 2140 symbols.
[2024-12-23 00:43:28] Processing symbol: 20MICRONS.NS - 1/2140
[2024-12-23 00:43:29] Data for 20MICRONS.NS successfully processed.
[2024-12-23 00:43:30] Processing symbol: 21STCENMGM.NS - 2/2140
[2024-12-23 00:43:30] Data for 21STCENMGM.NS successfully processed.
[2024-12-23 00:43:31] Processing symbol: 360ONE.NS - 3/2140
[2024-12-23 00:43:31] Data for 360ONE.NS successfully processed.
[2024-12-23 00:43:31] Processing symbol: 3IINFOLTD.NS - 4/2140
[2024-12-23 00:43:32] Data for 3IINFOLTD.NS successfully processed.
[2024-12-23 00:43:32] Processing symbol: 3MINDIA.NS - 5/2140
[2024-12-23 00:43:32] Data for 3MINDIA.NS successfully processed.
[2024-12-23 00:43:33] Processing symbol: 3PLAND.NS - 6/2140
[2024-12-23 00:43:33] Data for 3PLAND.NS successfully processed.
[2024-12-23 00:43:34] Processing symbol: 5PAISA.NS - 7/2140
[2024-12-23 00:43:34] Data for 5PAISA.NS successfully processed.
[2024-12-23 00:43:35] Processing symbol: 63MOONS.NS - 8/2140
[2024-12-23 00:43:35] Data for 63MOONS.NS successfully processed.
[2024-12-23 00:43:36] Processing symbol: A2ZINFRA.NS - 9/2140
[2024-12-23 00:43:36] Data for A2ZINFRA.NS successfully processed.
[2024-12-23 00:43:37] Processing symbol: AAATECH.NS - 10/2140
[2024-12-23 00:43:37] Data for AAATECH.NS successfully processed.
[2024-12-23 00:43:38] Processing symbol: AADHARHFC.NS - 11/2140
[2024-12-23 00:43:38] Data for AADHARHFC.NS successfully processed.
[2024-12-23 00:43:38] Processing symbol: AAKASH.NS - 12/2140
[2024-12-23 00:43:39] Data for AAKASH.NS successfully processed.
[2024-12-23 00:43:39] Processing symbol: AAREYDRUGS.NS - 13/2140
[2024-12-23 00:43:40] Data for AAREYDRUGS.NS successfully processed.
[2024-12-23 00:43:40] Processing symbol: AARON.NS - 14/2140
[2024-12-23 00:43:40] Data for AARON.NS successfully processed.
[2024-12-23 00:43:41] Processing symbol: AARTECH.NS - 15/2140
[2024-12-23 00:43:41] Data for AARTECH.NS successfully processed.
[2024-12-23 00:43:42] Processing symbol: AARTIDRUGS.NS - 16/2140
[2024-12-23 00:43:42] Data for AARTIDRUGS.NS successfully processed.
[2024-12-23 00:43:43] Processing symbol: AARTIIND.NS - 17/2140
[2024-12-23 00:43:43] Data for AARTIIND.NS successfully processed.
[2024-12-23 00:43:44] Processing symbol: AARTIPHARM.NS - 18/2140
[2024-12-23 00:43:44] Data for AARTIPHARM.NS successfully processed.
[2024-12-23 00:43:45] Processing symbol: AARTISURF.NS - 19/2140
[2024-12-23 00:43:45] Data for AARTISURF.NS successfully processed.
[2024-12-23 00:43:46] Processing symbol: AARVEEDEN.NS - 20/2140
[2024-12-23 00:43:46] Data for AARVEEDEN.NS successfully processed.
[2024-12-23 00:43:46] Processing symbol: AARVI.NS - 21/2140
[2024-12-23 00:43:47] Data for AARVI.NS successfully processed.
