row_insert_order,PreviousDayDate,Symbol_Input,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson
4233,2024-12-14 23:36:08,20MICRONS.NS,Other Industrial Metals & Mining,Basic Materials,384,,,,,,86400,2,256.02,254.85,245.0,261.6,256.02,254.85,245.0,261.6,1.25,0.0049,1720742400,0.0743,,0.841,15.131392,,71224,71224,95045,102948,102948,9026298880,132.0,348.0,1.0520109,258.9926,228.93146,1.25,0.004882431,10141665280,0.06922,15489132,35286500,0.56441003,0.00037,35465400,108.718,2.3410106,0.024,16.82,,0.4246292,1.25,1720742400,NSI,EQUITY,165704992,4.696,1080114944,1313862016,0.783,1.752,8580042752,34.138,243.13,0.09557,0.16825001,-466720992,115088000,0.024,0.203,0.46492,0.12589,0.10908,20MICRONS.NS,20 MICRONS LTD,20 Microns Limited,254.51,,,,,,none,,-0.59,2.5,Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum
4234,2024-12-14 23:36:08,21STCENMGM.NS,Capital Markets,Financial Services,10,,,,,,86400,2,93.98,92.15,92.1,94.9,93.98,92.15,92.1,94.9,2.5,0.0269,1721952000,0.044099998,,0.544,1.6387861,,10585,10585,9764,13148,13148,975135040,29.85,141.4,0.61955076,106.4216,80.6082,,,888176704,0.37807998,2773226,10500000,0.64094,,10523700,90.796,1.0228425,0.049,56.67,,2.10602,2.5,1721952000,NSI,EQUITY,86393000,8.233,646390016,,9.597,14.294,1573938944,,150.248,0.53249,0.96726996,-10334500,209936992,0.05,4.028,0.42755002,0.41068,0.29568002,21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Twentyfirst Century Management Services Limited,92.87,,,,,,none,,-1.18,3.5,Hold,Hold,"Low Beta (less volatile than the market)-
 Price-to-Book ratio (<2) indicates potential for growth",Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum
4235,2024-12-14 23:36:08,360ONE.NS,Asset Management,Financial Services,1230,,,,,,86400,2,1199.3,1197.95,1173.0,1203.8,1199.3,1197.95,1173.0,1203.8,10.0,0.0084,1722988800,0.587,3.51,0.475,48.079414,37.68997,310017,310017,686892,664612,664612,460499288064,591.5,1225.95,12.988605,1077.663,939.857,22.5,0.018760944,532171882496,0.26052,218363307,387920000,0.19757,0.62699,388083008,107.158,11.073368,0.32,24.68,31.77,0.78369033,2.5,1722988800,NSI,EQUITY,10628700160,29.074,21649500160,109005897728,2.461,11.198,35454099456,278.92,98.411,0.09399,0.25745,-7159849984,-21277599744,0.274,0.43,0.70015997,0.61063,0.61823004,360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,1186.6,1350.0,890.0,1170.5454,1130.0,2.09091,buy,11,-1.06,1.7,Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Buy,Trading near its 52-week high (bullish momentum)
4236,2024-12-14 23:36:08,3IINFOLTD.NS,Information Technology Services,Technology,5600,,,,,,86400,2,32.97,32.5,31.8,33.3,32.97,32.5,31.8,33.3,,,1309996800,,3.81,0.843,,,2216296,2216296,716401,1145643,1145643,5543766016,25.23,63.9,0.72319114,28.4372,34.9845,,,5906255872,-0.18441999,151287896,169534000,0.16332,0.0066299997,173944000,16.263,2.0100842,,-809.32,,-0.31033754,15.0,1309996800,NSI,EQUITY,502800000,2.916,-704600000,773299968,0.754,1.154,7665699840,27.58,45.401,-0.0655,-0.40056,-1968362496,2548400128,,-0.155,0.09036,-0.09192,-0.02342,3IINFOLTD.NS,3I INFOTECH LIMITED,3i Infotech Limited,32.69,,,,,,none,,-0.85,2.6,Hold,Hold,Low Beta (less volatile than the market),None,None,Hold,Trading near its 52-week low (bearish momentum)
4237,2024-12-14 23:36:08,3MINDIA.NS,Conglomerates,Industrials,1033,,,,,,86400,2,31473.3,31210.0,31200.0,31679.85,31473.3,31210.0,31200.0,31679.85,160.0,0.0046,1720137600,0.4791,,0.218,59.523468,48.859306,2590,2590,5400,6234,6234,356340072448,28498.95,40856.5,8.512098,33327.53,33784.516,,,362474930176,0.14604001,2649544,11265100,0.7648,0.09503999,11275800,1905.806,16.582066,0.216,530.92,,0.018898249,525.0,1720137600,NSI,EQUITY,13553505280,1203.144,7871388672,181778000,,,41862778880,0.847,3716.158,,,,,0.216,-0.003,0.40553,0.18802999,0.18334,3MINDIA.NS,3M INDIA LIMITED,3M India Limited,31602.2,40410.0,40410.0,40410.0,40410.0,,none,1,0.41,1.3,Strong Buy,Hold,Low Beta (less volatile than the market),None,None,Hold,No strong momentum
4238,2024-12-14 23:36:08,3PLAND.NS,,,,,,,,,86400,2,59.55,61.3,60.47,65.5,59.55,61.3,60.47,65.5,,,,,,,,,392268,392268,79955,172166,172166,,25.05,71.66,,46.4624,37.99145,,,,,,,,,,,,,,,,,,NSI,EQUITY,,,,,,,,,,,,,,,,,,,3PLAND.NS,3P LAND HOLDINGS LIMITED,3P Land Holdings Ltd,,,,,,,,,N/A,2.6,Hold,Hold,High Beta (more volatile),None,None,None,None
4239,2024-12-14 23:36:08,5PAISA.NS,Capital Markets,Financial Services,548,,,,,,86400,2,498.05,495.0,488.45,497.9,498.05,495.0,488.45,497.9,,,,,,1.16,25.702394,31.870968,19907,19907,129746,35478,35478,15435573248,458.0,758.45,3.9658902,506.588,514.9487,,,1119498112,0.16148001,11862784,31220800,0.57383,0.21020001,31246100,184.582,2.6763172,0.15,19.22,15.5,-0.03165734,,,NSI,EQUITY,15979458560,512.193,,1687072000,6.995,7.028,3892082944,29.297,125.028,0.03162,0.1168,,1484483968,0.137,0.048,0.99966,,0.30915,5PAISA.NS,5PAISA CAPITAL LIMITED,5paisa Capital Limited,494.0,,,,,,none,,-0.81,2.1,Buy,Hold,High Beta (more volatile),None,None,Hold,Trading near its 52-week low (bearish momentum)
4240,2024-12-14 23:36:08,63MOONS.NS,Software - Application,Technology,863,,,,,,86400,2,871.75,836.25,832.0,889.75,871.75,836.25,832.0,889.75,2.0,0.0034,1726790400,0.052800003,5.9,1.193,53.7768,,973408,973408,665775,964839,964839,39422488576,314.65,963.45,9.960995,587.458,433.05374,,,15698733056,0.44103,16066736,46078500,0.58090997,0.0352,46221700,726.448,1.1740689,,15.86,,0.7286178,2.0,1726790400,NSI,EQUITY,12364177408,267.819,245590000,51611000,,,3957686016,0.179,85.863,,,,,,-0.663,0.51252,0.06205,-1.51999,63MOONS.NS,63 MOONS TECHNOLOGIES LTD,63 moons technologies limited,852.9,,,,,,none,,-2.16,1.0,Strong Buy,Hold,"High Beta (more volatile)-
 Price-to-Book ratio (<2) indicates potential for growth",Hold,Highly Profitable with margins > 20%,Buy,Trading near its 52-week high (bullish momentum)
4241,2024-12-14 23:36:08,A2ZINFRA.NS,Engineering & Construction,Industrials,5723,,,,,,86400,2,20.14,20.49,19.89,21.14,20.14,20.49,19.89,21.14,,,1316649600,,,0.653,132.125,,745346,745346,421476,900579,900579,3742541056,10.4,24.57,0.9926346,17.8024,17.32895,,,4840600576,-0.01273,108514489,176120000,0.36992002,,177036000,1.827,11.570881,,0.16,,1.0133333,2.0,1316649600,NSI,EQUITY,28604000,0.162,-543674752,1979510016,,,3770310912,948.741,22.058,,,,,,-0.122,0.12818,-0.1442,0.02957,A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,A2Z Infra Engineering Limited,21.14,,,,,,none,,4.97,1.0,Strong Buy,Hold,Low Beta (less volatile than the market),None,None,Buy,Trading near its 52-week high (bullish momentum)
4242,2024-12-14 23:36:08,AAATECH.NS,Information Technology Services,Technology,97,,,,,,86400,2,112.42,112.99,112.44,115.12,112.42,112.99,112.44,115.12,0.5,0.0047,1725580800,0.1884,,0.181,41.144928,,13828,13828,59377,21648,21648,1456611328,79.95,160.85,6.0753145,118.301,114.90915,,,1149805824,0.14196,3394356,12826800,0.72692,,12993400,21.795,5.210369,0.31,2.76,,0.28972173,0.5,1725580800,NSI,EQUITY,205088992,15.989,44597500,,,,239759008,,18.7,,,,,0.313,0.053,0.6931,0.18601,0.20577998,AAATECH.NS,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,113.56,,,,,,none,,1.01,1.7,Buy,Hold,Low Beta (less volatile than the market),None,None,Hold,No strong momentum
