row_insert_order,PreviousDayDate,Symbol_Input,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
2117,2024-12-15 18:31:55,20MICRONS.NS,Other Industrial Metals & Mining,Basic Materials,384.0,,,,,,86400.0,2.0,254.51,254.0,245.5,254.0,254.51,254.0,245.5,254.0,1.25,0.0049,1720742400.0,0.0743,,0.841,14.671226,,47261.0,47261.0,94099.0,102948.0,102948.0,8751797248.0,132.0,348.0,1.0200179,258.9926,228.93146,1.25,0.0049113985,10141665280.0,0.06922,15489132.0,35286500.0,0.56441003,0.00037,35465400.0,108.718,2.2698174,0.024,16.82,,0.4246292,1.25,1720742400.0,NSI,EQUITY,165704992.0,4.696,1080114944.0,1313862016.0,0.783,1.752,8580042752.0,34.138,243.13,0.09557,0.16825001,-466720992.0,115088000.0,0.024,0.203,0.46492,0.12589,0.10908,20MICRONS.NS,20 MICRONS LTD,20 Microns Limited,246.77,,,,,,none,,-3.04,2.5,Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,12,4
2118,2024-12-15 18:31:55,21STCENMGM.NS,Capital Markets,Financial Services,10.0,,,,,,86400.0,2.0,92.87,91.01,91.01,93.01,92.87,91.01,91.01,93.01,2.5,0.0269,1721952000.0,0.044099998,,0.544,1.6068467,,16288.0,16288.0,9660.0,13148.0,13148.0,956129984.0,29.85,141.4,0.6074759,106.4216,80.6082,,,888176704.0,0.37807998,2773226.0,10500000.0,0.64094,,10523700.0,90.796,1.0029076,0.049,56.67,,2.10602,2.5,1721952000.0,NSI,EQUITY,86393000.0,8.233,646390016.0,,9.597,14.294,1573938944.0,,150.248,0.53249,0.96726996,-10334500.0,209936992.0,0.05,4.028,0.42755002,0.41068,0.29568002,21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Twentyfirst Century Management Services Limited,91.06,,,,,,none,,-1.95,3.5,Hold,Hold,"Low Beta (less volatile than the market)-
 Price-to-Book ratio (<2) indicates potential for growth",Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,2,1
2119,2024-12-15 18:31:55,360ONE.NS,Asset Management,Financial Services,1230.0,,,,,,86400.0,2.0,1186.6,1186.8,1184.6,1245.0,1186.6,1186.8,1184.6,1245.0,10.0,0.0084,1722988800.0,0.587,3.51,0.475,50.34036,39.462345,951238.0,951238.0,693576.0,664612.0,664612.0,482154348544.0,591.5,1245.0,13.599397,1077.663,939.857,22.5,0.01896174,532171882496.0,0.26052,218363307.0,387920000.0,0.19757,0.62699,388083008.0,107.158,11.594095,0.32,24.68,31.77,0.78369033,2.5,1722988800.0,NSI,EQUITY,10628700160.0,29.074,21649500160.0,109005897728.0,2.461,11.198,35454099456.0,278.92,98.411,0.09399,0.25745,-7159849984.0,-21277599744.0,0.274,0.43,0.70015997,0.61063,0.61823004,360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,1242.4,1350.0,890.0,1170.5454,1130.0,2.09091,buy,11.0,4.7,1.3,Strong Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Buy,Trading near its 52-week high (bullish momentum),19,11
2120,2024-12-15 18:31:55,3IINFOLTD.NS,Information Technology Services,Technology,5600.0,,,,,,86400.0,2.0,32.69,32.66,32.06,33.19,32.69,32.66,32.06,33.19,,,1309996800.0,,3.81,0.843,,,795558.0,795558.0,722559.0,1145643.0,1145643.0,5469148672.0,25.23,63.9,0.71345717,28.4372,34.9845,,,5906255872.0,-0.18441999,151287896.0,169534000.0,0.16332,0.0066299997,173944000.0,16.263,1.9830289,,-809.32,,-0.31033754,15.0,1309996800.0,NSI,EQUITY,502800000.0,2.916,-704600000.0,773299968.0,0.754,1.154,7665699840.0,27.58,45.401,-0.0655,-0.40056,-1968362496.0,2548400128.0,,-0.155,0.09036,-0.09192,-0.02342,3IINFOLTD.NS,3I INFOTECH LIMITED,3i Infotech Limited,32.25,,,,,,none,,-1.35,2.6,Hold,Hold,"Low Beta (less volatile than the market)-
 Price-to-Book ratio (<2) indicates potential for growth",,,Hold,Trading near its 52-week low (bearish momentum),6,5
2121,2024-12-15 18:31:55,3MINDIA.NS,Conglomerates,Industrials,1033.0,,,,,,86400.0,2.0,31602.2,31602.2,31265.75,31661.85,31602.2,31602.2,31265.75,31661.85,160.0,0.0046,1720137600.0,0.4791,,0.218,59.32033,48.692562,3936.0,3936.0,5447.0,6234.0,6234.0,355123986432.0,28498.95,40856.5,8.483048,33327.53,33784.516,,,362474930176.0,0.14604001,2649544.0,11265100.0,0.7648,0.09503999,11275800.0,1905.806,16.525475,0.216,530.92,,0.018898249,160.0,1720137600.0,NSI,EQUITY,13553505280.0,1203.144,7871388672.0,181778000.0,,,41862778880.0,0.847,3716.158,,,,,0.216,-0.003,0.40553,0.18802999,0.18334,3MINDIA.NS,3M INDIA LIMITED,3M India Limited,31494.35,40410.0,40410.0,40410.0,40410.0,,none,1.0,-0.34,1.3,Strong Buy,Hold,Low Beta (less volatile than the market),,,Hold,Trading near its 52-week low (bearish momentum),22,10
2122,2024-12-15 18:31:55,3PLAND.NS,Unknown,Unknown,,,,,,,86400.0,2.0,64.6,66.26,66.26,71.06,64.6,66.26,66.26,71.06,,,,,,,,,397807.0,397807.0,81145.0,172166.0,172166.0,,25.05,71.66,,46.4624,37.99145,,,,,,,,,,,,,,,,,,NSI,EQUITY,,,,,,,,,,,,,,,,,,,3PLAND.NS,3P LAND HOLDINGS LIMITED,3P Land Holdings Ltd,,,,,,,,,,2.6,Hold,Hold,High Beta (more volatile),,,,,1,1
2123,2024-12-15 18:31:55,5PAISA.NS,Capital Markets,Financial Services,548.0,,,,,,86400.0,2.0,494.0,500.5,493.0,501.85,494.0,500.5,493.0,501.85,,,,,,1.16,25.7154,31.887096,21122.0,21122.0,128146.0,35478.0,35478.0,15443385344.0,458.0,758.45,3.9678972,506.588,514.9487,,,1119498112.0,0.16148001,11862784.0,31220800.0,0.57383,0.21020001,31246100.0,184.582,2.6776717,0.15,19.22,15.5,-0.03165734,,,NSI,EQUITY,15979458560.0,512.193,,1687072000.0,6.995,7.028,3892082944.0,29.297,125.028,0.03162,0.1168,,1484483968.0,0.137,0.048,0.99966,,0.30915,5PAISA.NS,5PAISA CAPITAL LIMITED,5paisa Capital Limited,494.25,,,,,,none,,0.05,2.1,Buy,Hold,High Beta (more volatile),,,Hold,Trading near its 52-week low (bearish momentum),13,10
2124,2024-12-15 18:31:55,63MOONS.NS,Software - Application,Technology,863.0,,,,,,86400.0,2.0,852.9,895.5,895.5,895.5,852.9,895.5,895.5,895.5,2.0,0.0034,1726790400.0,0.052800003,5.9,1.193,56.4628,,67864.0,67864.0,672576.0,964839.0,964839.0,41391534080.0,314.65,963.45,10.458519,587.458,433.05374,,,15698733056.0,0.44103,16066736.0,46078500.0,0.58090997,0.0352,46221700.0,726.448,1.2327104,,15.86,,0.7286178,2.0,1726790400.0,NSI,EQUITY,12364177408.0,267.819,245590000.0,51611000.0,,,3957686016.0,0.179,85.863,,,,,,-0.663,0.51252,0.06205,-1.51999,63MOONS.NS,63 MOONS TECHNOLOGIES LTD,63 moons technologies limited,895.5,,,,,,none,,4.99,1.0,Strong Buy,Hold,"High Beta (more volatile)-
 Price-to-Book ratio (<2) indicates potential for growth",Hold,Highly Profitable with margins > 20%,Buy,Trading near its 52-week high (bullish momentum),17,9
2125,2024-12-15 18:31:55,A2ZINFRA.NS,Engineering & Construction,Industrials,5723.0,,,,,,86400.0,2.0,21.14,21.0,20.8,22.19,21.14,21.0,20.8,22.19,,,1316649600.0,,,0.653,138.5625,,1252607.0,1252607.0,426192.0,900579.0,900579.0,3924888064.0,10.4,24.57,1.0409985,17.8024,17.32895,,,4840600576.0,-0.01273,108514489.0,176120000.0,0.36992002,,177036000.0,1.827,12.134646,,0.16,,1.0133333,2.0,1316649600.0,NSI,EQUITY,28604000.0,0.162,-543674752.0,1979510016.0,,,3770310912.0,948.741,22.058,,,,,,-0.122,0.12818,-0.1442,0.02957,A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,A2Z Infra Engineering Limited,22.17,,,,,,none,,4.87,1.0,Strong Buy,Hold,Low Beta (less volatile than the market),,,Buy,Trading near its 52-week high (bullish momentum),23,12
2126,2024-12-15 18:31:55,AAATECH.NS,Information Technology Services,Technology,97.0,,,,,,86400.0,2.0,113.56,114.56,112.03,115.18,113.56,114.56,112.03,115.18,0.5,0.0047,1725580800.0,0.1884,,0.181,40.876812,,16926.0,16926.0,59883.0,21648.0,21648.0,1447119616.0,79.95,160.85,6.0357256,118.301,114.90915,,,1149805824.0,0.14196,3394356.0,12826800.0,0.72692,,12993400.0,21.795,5.1764164,0.31,2.76,,0.28972173,0.5,1725580800.0,NSI,EQUITY,205088992.0,15.989,44597500.0,,,,239759008.0,,18.7,,,,,0.313,0.053,0.6931,0.18601,0.20577998,AAATECH.NS,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,112.82,,,,,,none,,-0.65,1.7,Buy,Hold,Low Beta (less volatile than the market),,,Hold,No strong momentum,13,12
